home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_won,games_against_lost,League_21518,League_24558,home_player_1_overall_rating,home_player_2_overall_rating,home_player_3_overall_rating,home_player_4_overall_rating,home_player_5_overall_rating,home_player_6_overall_rating,home_player_7_overall_rating,home_player_8_overall_rating,home_player_9_overall_rating,home_player_10_overall_rating,home_player_11_overall_rating,away_player_1_overall_rating,away_player_2_overall_rating,away_player_3_overall_rating,away_player_4_overall_rating,away_player_5_overall_rating,away_player_6_overall_rating,away_player_7_overall_rating,away_player_8_overall_rating,away_player_9_overall_rating,away_player_10_overall_rating,away_player_11_overall_rating,B365_Win,B365_Draw,B365_Lose,BW_Win,BW_Draw,BW_Lose,label
-3,-5,2,2,0,0,1,0,75.0,74.0,71.0,72.0,69.0,67.0,73.0,77.0,69.0,74.0,71.0,77.0,71.0,74.0,74.0,73.0,76.0,75.0,73.0,74.0,73.0,65.0,0.4674220963172805,0.28328611898017003,0.2492917847025496,0.4436536180308422,0.2823250296559905,0.27402135231316727,Win
4,6,5,4,0,0,1,0,76.0,78.0,77.0,73.0,76.0,77.0,79.0,80.0,77.0,71.0,78.0,79.0,80.0,77.0,83.0,79.0,80.0,80.0,76.0,81.0,73.0,82.0,0.39340623201512787,0.28372934308969827,0.3228644248951739,0.3739565943238731,0.2921535893155259,0.333889816360601,Lose
-10,0,2,4,0,0,1,0,73.0,72.0,75.0,73.0,71.0,72.0,75.0,75.0,76.0,71.0,74.0,79.0,75.0,78.0,74.0,72.0,78.0,76.0,80.0,70.0,75.0,72.0,0.34285714285714286,0.3142857142857143,0.34285714285714286,0.3463687150837989,0.30726256983240224,0.3463687150837989,Lose
-18,8,1,7,0,0,1,0,72.0,56.0,70.0,76.0,75.0,77.0,80.0,72.0,76.0,76.0,74.0,81.0,81.0,79.0,85.0,79.0,83.0,76.0,79.0,84.0,79.0,78.0,0.14370103067302703,0.24580439457228306,0.6104945747546899,0.1466587817859255,0.23832052040212892,0.6150206978119456,Lose
-18,-5,1,3,0,0,1,0,72.0,77.0,76.0,70.0,56.0,78.0,80.0,77.0,72.0,73.0,74.0,79.0,78.0,70.0,80.0,71.0,79.0,76.0,81.0,77.0,76.0,79.0,0.36319612590799033,0.28945630640545894,0.34734756768655073,0.3595658073270013,0.28765264586160105,0.35278154681139756,Draw
-1,15,2,6,0,0,1,0,74.0,76.0,80.0,81.0,77.0,73.0,77.0,82.0,80.0,77.0,80.0,81.0,81.0,84.0,87.0,83.0,87.0,87.0,78.0,87.0,86.0,93.0,0.15854770503220061,0.21969658895916944,0.6217557060086298,0.15874177029992684,0.22677395757132407,0.6144842721287491,Draw
7,2,4,5,0,0,1,0,76.0,74.0,75.0,77.0,75.0,72.0,76.0,74.0,75.0,73.0,78.0,76.0,79.0,81.0,80.0,76.0,79.0,78.0,81.0,78.0,78.0,80.0,0.3516483516483516,0.2967032967032967,0.3516483516483516,0.334855403348554,0.3181126331811263,0.3470319634703196,Lose
-7,-5,3,2,0,0,1,0,76.0,74.0,71.0,76.0,73.0,77.0,71.0,73.0,76.0,72.0,72.0,77.0,76.0,73.0,73.0,74.0,76.0,74.0,78.0,76.0,77.0,71.0,0.42307692307692313,0.2884615384615385,0.2884615384615385,0.41354540790148797,0.2863006670087225,0.30015392508978966,Lose
-4,-9,3,0,0,0,1,0,77.0,72.0,71.0,73.0,76.0,75.0,71.0,71.0,74.0,74.0,79.0,71.0,73.0,73.0,74.0,73.0,71.0,73.0,72.0,74.0,74.0,71.0,0.3979853841595892,0.29389689907169664,0.3081177167687142,0.38694379981838356,0.29169609524770457,0.3213601049339118,Lose
-4,14,4,6,0,0,1,0,70.0,76.0,76.0,75.0,73.0,64.0,77.0,74.0,75.0,70.0,78.0,83.0,84.0,85.0,83.0,84.0,84.0,86.0,88.0,94.0,90.0,89.0,0.06818181818181818,0.13636363636363635,0.7954545454545454,0.07496395963479095,0.14416146083613646,0.7808745795290725,Draw
-5,10,2,6,0,0,1,0,77.0,71.0,74.0,72.0,75.0,73.0,73.0,75.0,76.0,65.0,70.0,76.0,77.0,79.0,74.0,73.0,79.0,81.0,82.0,81.0,79.0,80.0,0.22010344200803078,0.2647355288596593,0.5151610291323099,0.21672840037901628,0.2760099922473943,0.5072616073735894,Win
2,2,5,4,0,0,1,0,79.0,75.0,74.0,78.0,76.0,78.0,76.0,80.0,71.0,75.0,72.0,68.0,76.0,78.0,77.0,71.0,77.0,73.0,77.0,80.0,78.0,69.0,0.3956834532374101,0.2877697841726619,0.31654676258992803,0.38795986622073575,0.2909698996655518,0.3210702341137124,Win
8,-11,7,2,0,0,1,0,81.0,81.0,81.0,85.0,82.0,83.0,76.0,80.0,84.0,84.0,77.0,73.0,74.0,74.0,75.0,75.0,72.0,76.0,77.0,72.0,71.0,76.0,0.7966834895457823,0.14708002883922133,0.05623648161499639,0.7786296118830858,0.14949688548155246,0.07187350263536177,Win
-5,-2,3,1,0,0,1,0,79.0,78.0,70.0,80.0,71.0,77.0,76.0,81.0,77.0,76.0,79.0,74.0,76.0,82.0,81.0,75.0,75.0,82.0,79.0,77.0,79.0,80.0,0.42307692307692313,0.2884615384615385,0.2884615384615385,0.4266970907016543,0.29092983456930976,0.28237307472903594,Win
15,3,6,3,0,0,1,0,81.0,81.0,87.0,84.0,83.0,87.0,87.0,87.0,84.0,93.0,86.0,76.0,74.0,75.0,77.0,75.0,76.0,72.0,74.0,75.0,73.0,78.0,0.8502024291497975,0.10485829959514169,0.044939271255060725,0.8365978354690923,0.10995285837593784,0.05344930615496978,Win
2,-7,5,3,0,0,1,0,78.0,79.0,81.0,80.0,66.0,79.0,81.0,79.0,78.0,80.0,78.0,76.0,76.0,74.0,76.0,73.0,71.0,73.0,72.0,77.0,68.0,72.0,0.6340391980175715,0.2196440639783735,0.14631673800405498,0.6458616010854817,0.2203527815468114,0.13378561736770692,Win
-2,-9,3,2,0,0,1,0,77.0,76.0,73.0,73.0,74.0,74.0,76.0,78.0,76.0,77.0,74.0,77.0,73.0,71.0,72.0,76.0,75.0,71.0,75.0,74.0,79.0,75.0,0.48908296943231444,0.2724890829694323,0.23842794759825325,0.47904191616766467,0.2874251497005988,0.23353293413173648,Win
17,-3,6,3,0,0,1,0,83.0,79.0,85.0,80.0,84.0,84.0,78.0,83.0,94.0,90.0,89.0,77.0,73.0,75.0,74.0,75.0,73.0,73.0,63.0,76.0,67.0,70.0,0.9083622762489982,0.06358535933742988,0.028052364413572006,0.9163930991129426,0.060138297129286866,0.023468603757770483,Win
8,8,5,5,0,0,1,0,76.0,80.0,80.0,74.0,81.0,82.0,71.0,81.0,81.0,79.0,79.0,79.0,80.0,79.0,83.0,79.0,80.0,80.0,76.0,81.0,70.0,82.0,0.4545454545454546,0.27272727272727276,0.27272727272727276,0.45801526717557256,0.267175572519084,0.2748091603053435,Win
